Namespace(ignore_case=False, order=4, ref='./scores_regless/w01/gen.out.ref', sacrebleu=False, sentence_bleu=True, sys='./scores_regless/w01/gen.out.sys')
0 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
1 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
2 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
3 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
4 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
5 BLEU4 = 70.71, 50.0/50.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
6 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
7 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
8 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
9 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
10 BLEU4 = 48.55, 33.3/33.3/50.0/100.0 (BP=1.000, ratio=1.500, syslen=3, reflen=2)
11 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
12 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
13 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
14 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
15 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
16 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
17 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
18 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
